ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
router, send_bit_count, port0, Accumulator, 29340408, 0, 1975808, 970784768, 7968, 64, 576
router, send_packet_count, port0, Accumulator, 29340408, 0, 7968, 7968, 7968, 1, 1
router, output_port_stalls, port0, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port0, Accumulator, 29340408, 0, 26778032, 289301141836, 6328, 93, 207989
router, width_adj_count, port0, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port1, Accumulator, 29340408, 0, 2327424, 1207689216, 7646, 64, 576
router, send_packet_count, port1, Accumulator, 29340408, 0, 7646, 7646, 7646, 1, 1
router, output_port_stalls, port1, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port1, Accumulator, 29340408, 0, 26322030, 341392174620, 6367, 93, 340789
router, width_adj_count, port1, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port2, Accumulator, 29340408, 0, 2531328, 1324253184, 8024, 64, 576
router, send_packet_count, port2, Accumulator, 29340408, 0, 8024, 8024, 8024, 1, 1
router, output_port_stalls, port2, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port2, Accumulator, 29340408, 0, 26057592, 225389827950, 6748, 93, 146818
router, width_adj_count, port2, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port3, Accumulator, 29340408, 0, 2105728, 1078484992, 7302, 64, 576
router, send_packet_count, port3, Accumulator, 29340408, 0, 7302, 7302, 7302, 1, 1
router, output_port_stalls, port3, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port3, Accumulator, 29340408, 0, 26609542, 228123699360, 6378, 93, 118764
router, width_adj_count, port3, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port4, Accumulator, 29340408, 0, 2305728, 1253781504, 6019, 64, 576
router, send_packet_count, port4, Accumulator, 29340408, 0, 6019, 6019, 6019, 1, 1
router, output_port_stalls, port4, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port4, Accumulator, 29340408, 0, 26350167, 256490239859, 5260, 93, 62997
router, width_adj_count, port4, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port5, Accumulator, 29340408, 0, 1924224, 973381632, 7002, 64, 576
router, send_packet_count, port5, Accumulator, 29340408, 0, 7002, 7002, 7002, 1, 1
router, output_port_stalls, port5, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port5, Accumulator, 29340408, 0, 26844930, 225715165504, 6170, 93, 70292
router, width_adj_count, port5, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port6, Accumulator, 29340408, 0, 2304320, 1214173184, 7069, 64, 576
router, send_packet_count, port6, Accumulator, 29340408, 0, 7069, 7069, 7069, 1, 1
router, output_port_stalls, port6, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port6, Accumulator, 29340408, 0, 26351993, 240352788671, 6076, 93, 71961
router, width_adj_count, port6, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port7, Accumulator, 29340408, 0, 2323008, 1228050432, 7017, 64, 576
router, send_packet_count, port7, Accumulator, 29340408, 0, 7017, 7017, 7017, 1, 1
router, output_port_stalls, port7, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port7, Accumulator, 29340408, 0, 26327757, 242593100189, 6019, 93, 76443
router, width_adj_count, port7, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, send_bit_count, port8, Accumulator, 29340408, 0, 10187200, 4379963392, 58047, 64, 576
router, send_packet_count, port8, Accumulator, 29340408, 0, 58047, 58047, 58047, 1, 1
router, output_port_stalls, port8, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, idle_time, port8, Accumulator, 29340408, 0, 16128883, 19920022055, 24437, 93, 40753
router, width_adj_count, port8, Accumulator, 29340408, 0, 0, 0, 0, 0, 0
router, xbar_stalls, port0, Accumulator, 29340408, 0, 17473, 17473, 17473, 1, 1
router, xbar_stalls, port1, Accumulator, 29340408, 0, 17226, 17226, 17226, 1, 1
router, xbar_stalls, port2, Accumulator, 29340408, 0, 18619, 18619, 18619, 1, 1
router, xbar_stalls, port3, Accumulator, 29340408, 0, 17241, 17241, 17241, 1, 1
